,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Crazyflie,Crazyflie,Crazyflie,Crazyflie,Crazyflie,Crazyflie,Crazyflie,Crazyflie:Marker1,Crazyflie:Marker1,Crazyflie:Marker1,Crazyflie:Marker2,Crazyflie:Marker2,Crazyflie:Marker2,Crazyflie:Marker3,Crazyflie:Marker3,Crazyflie:Marker3,Crazyflie:Marker4,Crazyflie:Marker4,Crazyflie:Marker4,Crazyflie:Marker1,Crazyflie:Marker1,Crazyflie:Marker1,Crazyflie:Marker2,Crazyflie:Marker2,Crazyflie:Marker2,Crazyflie:Marker3,Crazyflie:Marker3,Crazyflie:Marker3,Crazyflie:Marker4,Crazyflie:Marker4,Crazyflie:Marker4,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006
,ID,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,C13BEAEA5B9811ED22FB28257BB06FA9,"F1F9A460778511ED22FB28257BB072A9","F1F9A460778511ED22FB28257BB072A9","F1F9A460778511ED22FB28257BB072A9","F1F9A461778511ED22FB28257BB072A9","F1F9A461778511ED22FB28257BB072A9","F1F9A461778511ED22FB28257BB072A9","F1F9A45F778511ED22FB28257BB072A9","F1F9A45F778511ED22FB28257BB072A9","F1F9A45F778511ED22FB28257BB072A9","F1F9A45D778511ED22FB28257BB072A9","F1F9A45D778511ED22FB28257BB072A9","F1F9A45D778511ED22FB28257BB072A9","3D8C0D024778511ED","3D8C0D024778511ED","3D8C0D024778511ED","4D8C0D024778511ED","4D8C0D024778511ED","4D8C0D024778511ED","5D8C0D024778511ED","5D8C0D024778511ED","5D8C0D024778511ED"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.060000,-0.026919,0.022631,-0.999314,0.011642,-370.434814,29.349047,-758.393860,-371.021637,29.381069,-791.405334,-334.277771,31.230972,-755.943665,-369.978455,27.770922,-731.241211,-406.461487,29.013218,-754.985291,-371.104248,30.455135,-790.808105,-334.651001,29.362581,-755.989807,-370.065979,29.727697,-731.814758,-406.136444,27.990061,-755.056030,,,,,,,,,
7,0.070000,-0.026436,0.020799,-0.999381,0.010290,-370.409149,29.312468,-758.427551,-370.964661,29.223021,-791.439453,-334.249603,31.108547,-755.949768,-369.982635,27.834341,-731.268738,-406.439789,29.083960,-755.052124,-370.992126,30.559071,-790.886475,-334.638153,29.395575,-755.993408,-370.087646,29.804413,-731.749207,-406.119812,28.050299,-755.067139,,,,,,,,,
8,0.080000,-0.026757,0.020669,-0.999350,0.012482,-370.382019,29.383438,-758.442200,-370.955200,29.286535,-791.453796,-334.229370,31.339083,-755.984619,-369.934082,27.911324,-731.283447,-406.409454,28.996807,-755.046997,-371.004333,30.566946,-790.895264,-334.642181,29.377842,-755.987793,-370.024200,29.782652,-731.810852,-406.113556,28.017563,-755.056763,,,,,,,,,
9,0.090000,-0.026977,0.021572,-0.999328,0.012233,-370.411072,29.423243,-758.400452,-371.000000,29.385679,-791.411804,-334.256226,31.355139,-755.956543,-369.951050,27.902327,-731.244568,-406.437073,29.049826,-754.988770,-371.103882,30.487230,-790.793091,-334.642792,29.379343,-755.988892,-370.028656,29.797729,-731.807739,-406.114868,28.053392,-755.066772,,,,,,,,,
10,0.100000,-0.026427,0.020403,-0.999391,0.010108,-370.415894,29.268854,-758.438049,-370.970764,29.153124,-791.449829,-334.255798,31.054485,-755.960999,-369.990417,27.812361,-731.278076,-406.446655,29.055445,-755.063232,-371.009308,30.542089,-790.896301,-334.639801,29.381609,-755.999390,-370.097565,29.788338,-731.740479,-406.114502,28.014645,-755.080627,,,,,,,,,
11,0.110000,-0.027094,0.022553,-0.999315,0.011295,-370.421936,29.368397,-758.387390,-371.020691,29.394903,-791.398621,-334.262726,31.226105,-755.950623,-369.956818,27.794828,-731.234619,-406.447601,29.057751,-754.965637,-371.123413,30.464506,-790.778503,-334.630341,29.385826,-755.998413,-370.044006,29.772469,-731.813171,-406.103912,28.023003,-755.055847,,,,,,,,,
12,0.120000,-0.026646,0.019595,-0.999386,0.011534,-370.385315,29.345051,-758.464539,-370.951843,29.176699,-791.475891,-334.229645,31.239428,-756.003540,-369.945770,27.931768,-731.302490,-406.414093,29.032305,-755.076111,-371.018860,30.557234,-790.884399,-334.627441,29.398273,-755.999084,-370.036407,29.788944,-731.818359,-406.104950,28.055407,-755.089233,,,,,,,,,
13,0.130000,-0.027110,0.022552,-0.999308,0.011817,-370.419067,29.372877,-758.387573,-371.018158,29.399673,-791.398804,-334.261780,31.268284,-755.951111,-369.951996,27.799042,-731.234802,-406.444305,29.024506,-754.965454,-371.115692,30.470808,-790.788696,-334.629547,29.374098,-755.993225,-370.036682,29.756481,-731.812500,-406.115173,28.000988,-755.047119,,,,,,,,,
14,0.140000,-0.026961,0.021655,-0.999321,0.012716,-370.419067,29.431025,-758.405457,-371.006287,29.399218,-791.416870,-334.266174,31.397135,-755.959351,-369.958923,27.905350,-731.249817,-406.444855,29.022394,-754.995728,-371.100739,30.497145,-790.800415,-334.643280,29.429050,-755.992004,-370.037903,29.797430,-731.822510,-406.133759,28.030575,-755.066101,,,,,,,,,
15,0.150000,-0.027152,0.021349,-0.999321,0.012836,-370.415497,29.444309,-758.411926,-371.014862,29.392239,-791.423157,-334.262268,31.421467,-755.980286,-369.944977,27.935299,-731.255615,-406.439972,29.028229,-754.988647,-371.131012,30.479687,-790.787781,-334.649719,29.398947,-756.002930,-370.017517,29.798937,-731.833923,-406.119751,28.049547,-755.072388,,,,,,,,,
16,0.160000,-0.027003,0.021546,-0.999326,0.012428,-370.425232,29.394470,-758.403748,-371.015564,29.355253,-791.415100,-334.271027,31.340633,-755.961426,-369.963440,27.874907,-731.247803,-406.450928,29.007088,-754.990540,-371.115356,30.467278,-790.791260,-334.643066,29.400599,-755.997803,-370.042664,29.765368,-731.808411,-406.136200,28.013647,-755.066101,,,,,,,,,
17,0.170000,-0.026671,0.020464,-0.999364,0.011908,-370.392334,29.387968,-758.449524,-370.960571,29.277273,-791.461121,-334.237854,31.303469,-755.987183,-369.950226,27.927231,-731.289978,-406.420685,29.043898,-755.059631,-371.009857,30.585239,-790.893433,-334.626404,29.405687,-755.992004,-370.041870,29.825254,-731.821106,-406.127716,28.052835,-755.069458,,,,,,,,,
18,0.180000,-0.027074,0.022055,-0.999318,0.012026,-370.424652,29.380989,-758.398499,-371.020630,29.375116,-791.409790,-334.268463,31.294775,-755.960449,-369.959503,27.834015,-731.244141,-406.450104,29.020046,-754.979492,-371.116241,30.476772,-790.791321,-334.631989,29.369862,-756.000916,-370.042419,29.784353,-731.819397,-406.131836,27.999779,-755.056458,,,,,,,,,
